Institute,Program,Quota,Category,Gender,Opening Rank,Closing Rank,Closed_In_Round,Institute_Type
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Female-only (including Supernumerary),49265,49722,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,27918,28856,2,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Female-only (including Supernumerary),34279,34279,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,21853,22339,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,SC,Female-only (including Supernumerary),154902,154902,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,117149,117149,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,ST,Female-only (including Supernumerary),260420,260420,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,189303,191100,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering for DASA-CIWG (4 Years, Bachelor of Technology)",DASA-CIWG,OPEN,Gender-Neutral,347668,347668,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",All India,EWS,Gender-Neutral,15130,15773,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",All India,OBC-NCL,Gender-Neutral,17502,19745,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",All India,OPEN,Female-only (including Supernumerary),22684,23543,2,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",All India,OPEN,Gender-Neutral,14574,14765,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",All India,SC,Female-only (including Supernumerary),147773,147773,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",All India,SC (PwD),Gender-Neutral,1125423,1125423,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) for DASA-CIWG (5 Years, Integrated B. Tech. and M. Tech.)",DASA-CIWG,OPEN,Gender-Neutral,417431,421890,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,EWS,Gender-Neutral,19223,19223,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,OBC-NCL,Female-only (including Supernumerary),39144,39144,1,IIIT
